dataset,LITEMV,ConvTran,MotionGRU,FCN,H-Inception,STGCN,DisjointCNN,ConvLSTM,VanTran
IRDS_clf_bn_EFL,88022,87866,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_EFR,88022,88106,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_SAL,88022,88218,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_SAR,88022,88122,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_SFE,88022,88426,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_SFL,88022,88682,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_SFR,88022,88602,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_STL,88022,87962,181724,340738,505252,712290,846530,2717506,6333954
IRDS_clf_bn_STR,88022,87962,181724,340738,505252,712290,846530,2717506,6333954
KERAAL_clf_bn_CTK,90190,93370,182492,342786,505636,466130,854722,2783042,6334466
KERAAL_clf_bn_ELK,90190,93674,182492,342786,505636,466130,854722,2783042,6334466
KERAAL_clf_bn_RTK,90190,93178,182492,342786,505636,466130,854722,2783042,6334466
KERAAL_clf_mc_CTK,90256,93404,182554,343044,505894,466292,854980,2783300,6334980
KERAAL_clf_mc_ELK,90256,93708,182554,343044,505894,466292,854980,2783300,6334980
KERAAL_clf_mc_RTK,90256,93212,182554,343044,505894,466292,854980,2783300,6334980
KIMORE_clf_bn_LA,65258,77002,173660,319234,501220,586626,760514,2029378,6328578
KIMORE_clf_bn_LT,65258,78170,173660,319234,501220,586626,760514,2029378,6328578
KIMORE_clf_bn_PR,65258,78954,173660,319234,501220,586626,760514,2029378,6328578
KIMORE_clf_bn_Sq,65258,74314,173660,319234,501220,586626,760514,2029378,6328578
KIMORE_clf_bn_TR,65258,78410,173660,319234,501220,586626,760514,2029378,6328578
KINECAL_clf_bn_3WFV,88022,91018,181724,340738,505252,712290,846530,2717506,6333954
KINECAL_clf_bn_GGFV,88022,91642,181724,340738,505252,712290,846530,2717506,6333954
KINECAL_clf_bn_QSEC,88022,96378,181724,340738,505252,712290,846530,2717506,6333954
KINECAL_clf_bn_QSEO,88022,96394,181724,340738,505252,712290,846530,2717506,6333954
SPHERE_clf_bn_WUS,55502,59610,170204,310018,499492,533490,723650,1734466,6326274
UCDHE_clf_bn_MP,24066,29066,159068,280322,493924,410482,604866,784194,6318850
UCDHE_clf_bn_Rowing,24066,29066,159068,280322,493924,410482,604866,784194,6318850
UCDHE_clf_mc_MP,24132,29100,159130,280580,494182,410644,605124,784452,6319364
UCDHE_clf_mc_Rowing,24165,29117,159161,280709,494311,410725,605253,784581,6319621
UIPRMD_clf_bn_DS,78266,78986,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_HS,78266,78794,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_IL,78266,78922,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_SASLR,78266,78698,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_SL,78266,79050,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_SSA,78266,78874,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_SSE,78266,78762,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_SSIER,78266,78874,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_SSS,78266,78746,178268,331522,503524,658146,809666,2422594,6331650
UIPRMD_clf_bn_STS,78266,79098,178268,331522,503524,658146,809666,2422594,6331650
EHE_reg_BWL,223489,215561,229693,468609,529123,715729,1358401,6813377,6365697
EHE_reg_BWR,223489,215433,229693,468609,529123,715729,1358401,6813377,6365697
EHE_reg_HUD,223489,216089,229693,468609,529123,715729,1358401,6813377,6365697
EHE_reg_WB,223489,216265,229693,468609,529123,715729,1358401,6813377,6365697
EHE_reg_WF,223489,216169,229693,468609,529123,715729,1358401,6813377,6365697
EHE_reg_WH,223489,215673,229693,468609,529123,715729,1358401,6813377,6365697
KIMORE_reg_LA,65225,76985,173629,319105,501091,586545,760385,2029249,6328321
KIMORE_reg_LT,65225,78153,173629,319105,501091,586545,760385,2029249,6328321
KIMORE_reg_PR,65225,78937,173629,319105,501091,586545,760385,2029249,6328321
KIMORE_reg_Sq,65225,74297,173629,319105,501091,586545,760385,2029249,6328321
KIMORE_reg_TR,65225,78393,173629,319105,501091,586545,760385,2029249,6328321
UIPRMD_reg_DS,78233,78969,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_HS,78233,78777,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_IL,78233,78905,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_SASLR,78233,78681,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_SL,78233,79033,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_SSA,78233,78857,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_SSE,78233,78745,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_SSIER,78233,78857,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_SSS,78233,78729,178237,331393,503395,658065,809537,2422465,6331393
UIPRMD_reg_STS,78233,79081,178237,331393,503395,658065,809537,2422465,6331393
